scheme,N,B,metric,plot_value,plot_unit,n,m,r,t,q_bits,d,sigma_inf,short_range,message_bits
FC26-MoreEfficientRBE,1000000,1000,Setup,2300000.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000000,1000,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000000,1000,Register,0.0145,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000000,1000,Encrypt,1.91,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000000,1000,DecryptUpdate,25842.956,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000000,1000,CiphertextSizes,0.1531051377118644,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000000,3163,Setup,2300000.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000000,3163,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000000,3163,Register,0.0145,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000000,3163,Encrypt,1.91,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000000,3163,DecryptUpdate,31011.355999999996,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000000,3163,CiphertextSizes,0.1531051377118644,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
